url,name,cas_number,ec_number
https://incidecoder.com/ingredients/centella-asiatica-extract,Centella Asiatica Extract,84696-21-9,283-640-5
https://incidecoder.com/ingredients/cera-alba,Cera Alba,8012-89-3,232-383-7
https://incidecoder.com/ingredients/ceramide-ap,Ceramide AP,100403-19-8,309-560-3
https://incidecoder.com/ingredients/ceramide-1,Ceramide EOP,,
https://incidecoder.com/ingredients/ceramide-ng,Ceramide NG,,
https://incidecoder.com/ingredients/ceramide-np,Ceramide NP,72968-43-5,277-140-6
https://incidecoder.com/ingredients/ceresin,Ceresin,8001-75-0,232-290-1
https://incidecoder.com/ingredients/ceteareth-20,Ceteareth-20,68439-49-6,
https://incidecoder.com/ingredients/cetearyl-alcohol,Cetearyl Alcohol,67762-27-0,267-008-6
https://incidecoder.com/ingredients/cetearyl-ethylhexanoate,Cetearyl Ethylhexanoate,90411-68-0,291-445-1
https://incidecoder.com/ingredients/cetearyl-glucoside,Cetearyl Glucoside,246159-33-1,
https://incidecoder.com/ingredients/cetearyl-isononanoate,Cetearyl Isononanoate,111937-03-2,
https://incidecoder.com/ingredients/cetearyl-nonanoate,Cetearyl Nonanoate,,
https://incidecoder.com/ingredients/cetearyl-olivate,Cetearyl Olivate,,
https://incidecoder.com/ingredients/cetraria-islandica-thallus-extract,Cetraria Islandica Thallus Extract,,
https://incidecoder.com/ingredients/cetyl-alcohol,Cetyl Alcohol,36653-82-4,253-149-0
https://incidecoder.com/ingredients/cetyl-dimethicone,Cetyl Dimethicone,191044-49-2,
https://incidecoder.com/ingredients/cetyl-ethylhexanoate,Cetyl Ethylhexanoate,59130-69-7,261-619-1
https://incidecoder.com/ingredients/cetyl-hydroxyethylcellulose,Cetyl Hydroxyethylcellulose,80455-45-4,
https://incidecoder.com/ingredients/cetyl-lactate,Cetyl Lactate,35274-05-6,252-478-7
https://incidecoder.com/ingredients/cetyl-palmitate,Cetyl Palmitate,540-10-3,208-736-6
https://incidecoder.com/ingredients/cetyl-peg-ppg-10-1-dimethicone,Cetyl PEG/PPG-10/1 Dimethicone,,
https://incidecoder.com/ingredients/cetyl-phosphate,Cetyl Phosphate,3539-43-3,222-581-1
https://incidecoder.com/ingredients/cetylhydroxyproline-palmitamide,Cetylhydroxyproline Palmitamide,791838-11-4,
https://incidecoder.com/ingredients/chamomilla-recutita-flower-extract,Chamomilla Recutita Flower Extract,84082-60-0,282-006-5
https://incidecoder.com/ingredients/chamomilla-recutita-flower-oil,Chamomilla Recutita Flower Oil,8002-66-2,
https://incidecoder.com/ingredients/chlorophyll,Chlorophyll,,
